Date;SeqRank;Ident;Paint Color;HPRC2;LPRC6;HPRC1;LPRC3;LPRC1;LPRC4;LPRC2;LPRC5;HPRC3;
2003 38 3;504;022033830119;1;0;0;1;0;0;0;0;0;0;
2003 38 3;505;022033830402;2;1;0;0;0;0;0;0;0;0;
2003 38 3;506;022033830120;2;0;0;1;0;0;1;0;0;0;
2003 38 3;507;022033840232;3;1;0;1;0;0;0;0;0;0;
2003 38 3;508;022033830272;4;0;0;0;1;0;0;1;0;0;
2003 38 3;509;022033820002;5;0;0;1;0;0;0;0;0;0;
2003 38 3;510;022033830048;1;0;1;1;0;0;0;0;0;0;
2003 38 4;1;022033840162;3;0;0;1;0;0;0;1;0;0;
2003 38 4;2;022033840386;4;1;0;0;0;0;0;0;0;0;
2003 38 4;3;022033830379;5;0;0;0;1;0;0;1;0;0;
2003 38 4;4;022033830171;1;0;0;1;0;0;0;1;1;0;
2003 38 4;5;022033840039;2;1;0;0;0;0;0;0;0;0;
2003 38 4;6;022033850200;3;0;0;0;0;0;0;0;0;1;
2003 38 4;7;022033830025;2;0;1;0;0;0;0;0;0;0;
2003 38 4;8;022033840313;2;0;0;1;0;1;0;1;0;0;
2003 38 4;9;022033840314;1;0;0;1;0;0;0;0;0;0;
2003 38 4;10;022033730260;1;0;0;1;0;0;0;0;0;1;
2003 38 4;11;022033840242;4;0;0;0;0;0;0;0;0;0;
2003 38 4;12;022033840224;5;0;0;1;0;1;0;0;1;0;
2003 38 4;13;022033710525;0;0;0;1;0;1;0;0;1;0;
2003 38 4;14;022033750418;0;0;0;1;0;0;0;0;1;0;
2003 38 4;15;022033840006;1;1;0;0;0;1;0;0;0;0;
2003 38 4;16;022033840333;1;0;0;1;0;0;0;0;0;0;
2003 38 4;17;022033840282;2;0;0;1;0;0;0;0;0;0;
2003 38 4;18;022033840268;3;0;0;1;1;0;0;0;0;0;
2003 38 4;19;022033840277;5;0;0;1;0;0;0;0;0;0;
2003 38 4;20;022033840257;4;0;0;1;0;1;1;0;0;0;
